country,n_projects,issued_mt,retired_mt
United States,1909,611.4,353.0
India,1903,409.7,252.5
China,1563,257.7,158.1
Brazil,415,180.7,84.7
Türkiye,574,152.5,79.6
Colombia,270,145.9,85.3
Peru,76,98.4,56.9
Indonesia,101,98.1,81.7
Kenya,346,85.4,42.6
Guyana,1,58.4,12.6
Cambodia,45,56.8,28.0
DR Congo,60,46.9,25.0
Mexico,564,44.2,10.8
Bangladesh,178,43.1,11.5
Vietnam,147,35.1,9.4
Uganda,296,34.8,22.2
Zimbabwe,30,33.8,28.5
Zambia,90,25.1,17.3
Uruguay,28,24.1,12.4
South Africa,173,23.8,19.3
South Korea,17,22.7,17.3
Rwanda,225,21.4,7.9
Thailand,108,20.6,13.0
Malawi,158,20.0,11.1
Chile,53,16.4,13.4
